task,dataset,comparison,variant_or_head,metric,difference,unit
state,dataset_macro,A4-A3,fractional_dog_polykan,accuracy,-1.1092605116877485,percentage_points
state,dataset_macro,A4-A3,fractional_dog_polykan,balanced_accuracy,-1.682661632342275,percentage_points
state,dataset_macro,A4-A3,fractional_dog_polykan,AUROC,0.3192806728622988,percentage_points
state,dataset_macro,A4-A3,fractional_dog_polykan,BCE,0.0251988023519516,BCE
state,dataset_macro,A4-A3,mlp,accuracy,-1.225909035884698,percentage_points
state,dataset_macro,A4-A3,mlp,balanced_accuracy,-1.5245229126086168,percentage_points
state,dataset_macro,A4-A3,mlp,AUROC,0.4744089690640996,percentage_points
state,dataset_macro,A4-A3,mlp,BCE,0.017364710569381714,BCE
severity,vrq,A4-A3,linear,accuracy,8.695652173913048,percentage_points
severity,vrq,A4-A3,linear,balanced_accuracy,8.712121212121215,percentage_points
severity,vrq,A4-A3,linear,AUROC,16.666666666666675,percentage_points
severity,vrq,A4-A3,linear,BCE,-0.09296208620071411,BCE
severity,vrq,A4-A3,fractional_dog_polykan,accuracy,8.695652173913038,percentage_points
severity,vrq,A4-A3,fractional_dog_polykan,balanced_accuracy,7.954545454545448,percentage_points
severity,vrq,A4-A3,fractional_dog_polykan,AUROC,9.469696969696962,percentage_points
severity,vrq,A4-A3,fractional_dog_polykan,BCE,-0.10576683282852173,BCE
severity,vrq,A4-A3,mlp,accuracy,8.695652173913038,percentage_points
severity,vrq,A4-A3,mlp,balanced_accuracy,8.712121212121215,percentage_points
severity,vrq,A4-A3,mlp,AUROC,12.5,percentage_points
severity,vrq,A4-A3,mlp,BCE,-0.2691398859024048,BCE
severity,city,A4-A3,linear,accuracy,-6.493506493506496,percentage_points
severity,city,A4-A3,linear,balanced_accuracy,-6.493506493506485,percentage_points
severity,city,A4-A3,linear,AUROC,-6.164614606173046,percentage_points
severity,city,A4-A3,linear,BCE,0.15040838718414307,BCE
severity,city,A4-A3,fractional_dog_polykan,accuracy,0.649350649350644,percentage_points
severity,city,A4-A3,fractional_dog_polykan,balanced_accuracy,0.649350649350644,percentage_points
severity,city,A4-A3,fractional_dog_polykan,AUROC,2.133580705009286,percentage_points
severity,city,A4-A3,fractional_dog_polykan,BCE,0.08449655771255493,BCE
severity,city,A4-A3,mlp,accuracy,-7.792207792207795,percentage_points
severity,city,A4-A3,mlp,balanced_accuracy,-7.792207792207795,percentage_points
severity,city,A4-A3,mlp,AUROC,-2.5889694720863665,percentage_points
severity,city,A4-A3,mlp,BCE,0.14554977416992188,BCE
severity,dataset_macro,A4-A3,linear,accuracy,1.1010728402032877,percentage_points
severity,dataset_macro,A4-A3,linear,balanced_accuracy,1.1093073593073655,percentage_points
severity,dataset_macro,A4-A3,linear,AUROC,5.251026030246808,percentage_points
severity,dataset_macro,A4-A3,linear,BCE,0.028723150491714478,BCE
severity,dataset_macro,A4-A3,fractional_dog_polykan,accuracy,4.672501411631846,percentage_points
severity,dataset_macro,A4-A3,fractional_dog_polykan,balanced_accuracy,4.301948051948045,percentage_points
severity,dataset_macro,A4-A3,fractional_dog_polykan,AUROC,5.801638837353118,percentage_points
severity,dataset_macro,A4-A3,fractional_dog_polykan,BCE,-0.010635137557983398,BCE
severity,dataset_macro,A4-A3,mlp,accuracy,0.45172219085261034,percentage_points
severity,dataset_macro,A4-A3,mlp,balanced_accuracy,0.45995670995671034,percentage_points
severity,dataset_macro,A4-A3,mlp,AUROC,4.955515263956811,percentage_points
severity,dataset_macro,A4-A3,mlp,BCE,-0.061795055866241455,BCE
