head,task,variant,dataset,fold,n_samples,accuracy,balanced_accuracy,AUROC,BCE
mlp,severity,A3,city,fold_4,33,0.6363636363636364,0.6415441176470589,0.7224264705882353,0.722009539604187
mlp,severity,A3,city,fold_5,32,0.6875,0.6941176470588235,0.7588235294117647,0.6688491106033325
mlp,severity,A3,vrq,fold_1,5,0.6,0.5,0.8333333333333333,1.4292657375335693
mlp,severity,A3,vrq,fold_2,5,0.8,0.8333333333333333,1.0,0.4139919877052307
mlp,severity,A3,vrq,fold_3,5,0.6,0.5,0.33333333333333337,0.7074430584907532
mlp,severity,A3,vrq,fold_4,4,0.5,0.5,0.5,0.7337891459465027
mlp,severity,A3,vrq,fold_5,4,0.5,0.5,0.75,3.336905002593994
mlp,severity,A4,city,fold_1,30,0.5666666666666667,0.5666666666666667,0.5422222222222222,1.3186373710632324
mlp,severity,A4,city,fold_2,29,0.8275862068965517,0.8238095238095238,0.9000000000000001,0.39499175548553467
mlp,severity,A4,city,fold_3,30,0.8,0.8,0.9066666666666667,0.46714073419570923
mlp,severity,A4,city,fold_4,33,0.48484848484848486,0.4963235294117647,0.7352941176470589,1.0703853368759155
mlp,severity,A4,city,fold_5,32,0.53125,0.5,0.7529411764705882,0.6865753531455994
mlp,severity,A4,vrq,fold_1,5,0.8,0.75,1.0,1.1949818134307861
mlp,severity,A4,vrq,fold_2,5,1.0,1.0,1.0,0.012225494720041752
mlp,severity,A4,vrq,fold_3,5,0.6,0.5,0.5,0.6876242756843567
mlp,severity,A4,vrq,fold_4,4,0.5,0.5,0.5,0.8043475151062012
mlp,severity,A4,vrq,fold_5,4,0.5,0.5,0.75,2.5386290550231934
mlp,state,A3,city,fold_1,1820,0.8192307692307692,0.8264260216732708,0.9001968958219786,0.38825470209121704
mlp,state,A3,city,fold_2,1671,0.8432076600837821,0.8421318370608432,0.9134455245002913,0.3502916693687439
mlp,state,A3,city,fold_3,1784,0.649103139013453,0.6838316326530612,0.7972551020408164,0.6378282904624939
mlp,state,A3,city,fold_4,2102,0.7497621313035204,0.7799401030004478,0.8459331616659203,0.5065034031867981
