contrast,task,dataset,accuracy,balanced_accuracy,AUROC,BCE
R2_dog - R2_order1,severity,city,0.0,0.0,0.0,-0.0004361867904663086
R2_dog - R2_order1,severity,macro,0.0,0.0,0.0,-0.000453263521194458
R2_dog - R2_no_dog,state,vrq,0.0,0.0,-0.0001415307971013302,6.249547004699707e-05
R2_dog - R2_no_dog,state,city,0.0,0.0,-0.00012901783026419977,0.00023251771926879883
R2_dog - R2_no_dog,state,macro,0.0,0.0,-0.00013527431368265397,0.00014750659465789795
R2_dog - R2_no_dog,severity,vrq,0.0,0.0,0.0,8.83936882019043e-05
R2_dog - R2_no_dog,severity,city,0.0,0.0,0.0,-0.00023612380027770996
R2_dog - R2_no_dog,severity,macro,0.0,0.0,0.0,-7.386505603790283e-05
R2_dog - R2_order1_no_dog,state,vrq,0.0,0.0,-2.8306159420177224e-05,5.5223703384399414e-05
R2_dog - R2_order1_no_dog,state,city,0.0,0.0,-7.024304092151379e-05,0.00010839104652404785
R2_dog - R2_order1_no_dog,state,macro,0.0,0.0,-4.9274600170789995e-05,8.180737495422363e-05
R2_dog - R2_order1_no_dog,severity,vrq,0.0,0.0,0.0,-0.00046879053115844727
R2_dog - R2_order1_no_dog,severity,city,0.0,0.0,0.0,-2.682209014892578e-06
R2_dog - R2_order1_no_dog,severity,macro,0.0,0.0,0.0,-0.00023573637008666992
