seed,split,config,accuracy,balanced_accuracy,AUROC,BCE,subject_macro_segment_accuracy,subject_aggregated_accuracy,subject_aggregated_balanced_accuracy,subject_aggregated_AUROC,subject_count,n_segments,n_subjects,best_step,parameters
4001,split_1,dog,0.5416666666666666,0.5424528301886793,0.6101200686106346,0.6770023107528687,0.5394585762232821,0.6666666666666666,0.6666666666666666,0.6666666666666667,6,216,6,16,138513
4001,split_2,base,0.7647058823529411,0.7407128891562641,0.8581741615280493,0.46402883529663086,0.7447902447902447,1.0,1.0,1.0,6,170,6,36,35291
4001,split_2,mlp,0.7352941176470589,0.7105579786434051,0.8363663708828395,0.4865857660770416,0.7243484743484744,1.0,1.0,1.0,6,170,6,24,138590
4001,split_2,poly,0.7235294117647059,0.6869454053241089,0.814257783125282,0.5056643486022949,0.6942956942956943,0.8333333333333334,0.8333333333333333,1.0,6,170,6,24,104310
4001,split_2,fractional,0.7235294117647059,0.6869454053241089,0.814257783125282,0.5056315064430237,0.6942956942956943,0.8333333333333334,0.8333333333333333,1.0,6,170,6,24,104852
4001,split_2,dog,0.7529411764705882,0.7243194465333134,0.8357647766581441,0.4852829873561859,0.7274652274652276,0.8333333333333334,0.8333333333333333,1.0,6,170,6,24,138513
4001,split_3,base,0.6743119266055045,0.6743119266055047,0.7545661139634711,0.5973196029663086,0.6716716716716716,0.8333333333333334,0.8333333333333333,0.888888888888889,6,218,6,13,35291
4001,split_3,mlp,0.6422018348623854,0.6422018348623852,0.739668378082653,0.5950830578804016,0.6396396396396397,0.6666666666666666,0.6666666666666666,0.888888888888889,6,218,6,16,138590
4001,split_3,poly,0.6834862385321101,0.6834862385321101,0.734281626125747,0.5993624329566956,0.6813063063063063,0.8333333333333334,0.8333333333333333,0.7777777777777778,6,218,6,20,104310
4001,split_3,fractional,0.6880733944954128,0.6880733944954128,0.734281626125747,0.5994620323181152,0.6858108108108109,0.8333333333333334,0.8333333333333333,0.7777777777777778,6,218,6,20,104852
4001,split_3,dog,0.6651376146788991,0.6651376146788991,0.7376483460988132,0.5953065156936646,0.6626626626626627,0.8333333333333334,0.8333333333333333,0.888888888888889,6,218,6,26,138513
